kp,ki,Max power rate of G15.02 (max=341.165MW/min),Max power rate of G16.01 (max=686.878MW/min),Max power rate of G17.02 (max=95.200MW/min),Max power rate of G23.01 (max=485.898MW/min),Max power rate of G26.01 (max=356.785MW/min),Exceed max power rate or not?
0.9,0.05,179.4818,371.7486,50.0396,260.6366,194.3853,Not Exceed
0.9,0.05,183.4036,380.0029,51.2934,262.7927,195.5198,Not Exceed
0.9,0.05,185.9617,389.4647,52.8061,271.9219,202.9663,Not Exceed
0.9,0.06,191.2004,395.4232,53.2363,277.0856,206.7429,Not Exceed
0.9,0.06,195.8608,405.402,54.806,280.7096,208.9956,Not Exceed
0.9,0.06,199.1439,415.7559,56.4732,290.6061,216.6077,Not Exceed
0.9,0.07,203.1983,419.9351,56.4103,293.8523,219.0136,Not Exceed
0.9,0.07,208.2079,431.386,58.2874,298.6532,222.3506,Not Exceed
0.9,0.07,212.2942,443.0265,60.1127,309.5429,230.6692,Not Exceed
0.9,0.08,215.0718,444.4184,59.709,310.9006,231.4847,Not Exceed
0.9,0.08,244.2908,536.0051,68.3074,369.9644,277.2047,Not Exceed
0.9,0.08,239.7586,515.4169,67.5102,356.7197,268.5602,Not Exceed
1.0,0.01,147.5087,305.8933,41.3789,213.307,160.1857,Not Exceed
1.0,0.01,151.2967,312.5603,42.1068,214.8622,160.8594,Not Exceed
1.0,0.01,164.9278,315.6337,42.6143,220.5187,165.3572,Not Exceed
1.0,0.02,156.7367,324.9128,43.4894,227.0779,169.488,Not Exceed
1.0,0.02,160.2843,331.7809,44.6744,229.1095,171.6511,Not Exceed
1.0,0.02,169.0572,336.4111,45.4829,234.4165,175.8171,Not Exceed
1.0,0.03,166.4329,345.355,46.4475,242.2558,180.9107,Not Exceed
1.0,0.03,170.1103,352.8945,47.4697,243.4117,182.4109,Not Exceed
1.0,0.03,173.196,358.8341,48.6712,249.8794,187.0849,Not Exceed
1.0,0.04,176.9931,367.1508,49.3927,257.3656,192.2832,Not Exceed
1.0,0.04,180.8982,374.4431,50.2614,259.014,193.6389,Not Exceed
1.0,0.04,182.8154,382.8317,51.8482,266.5481,199.2404,Not Exceed
1.0,0.05,187.5379,388.8324,52.3219,272.3983,203.5961,Not Exceed
1.0,0.05,191.7823,397.3552,53.396,274.5268,205.3618,Not Exceed
1.0,0.05,194.4036,407.0883,55.2364,283.6129,211.8248,Not Exceed
1.0,0.06,198.4586,411.1266,55.3408,288.3661,215.0032,Not Exceed
1.0,0.06,203.2813,420.7399,56.6447,290.477,217.0322,Not Exceed
1.0,0.06,206.6016,431.8075,58.628,301.3685,224.9247,Not Exceed
1.0,0.07,209.586,434.0483,58.4364,304.3081,226.9761,Not Exceed
1.0,0.07,214.706,444.8994,59.8999,306.9292,229.0657,Not Exceed
1.0,0.07,218.857,457.3378,62.001,319.0029,238.158,Not Exceed
1.0,0.08,220.6332,456.8022,61.5081,320.1275,238.8558,Not Exceed
1.0,0.08,255.1913,559.5496,71.2667,385.2628,289.2671,Not Exceed
1.0,0.08,237.8061,516.8559,67.049,358.3155,269.0165,Not Exceed
